Meter Consumption ID,Usage/Quantity,Cost ($),Start Date,End Date,Meter Name
2602738839,308846.52,200406.24,10/1/18,10/31/18,NG1
2602819798,110245.05,74442.05,11/1/18,11/30/18,NG1
2602972285,73917.81,62967.81,12/1/18,12/31/18,NG1
2662451939,82491.39,60529.69,1/1/19,1/31/19,NG1
2742572969,96503.31,63383.52,2/1/19,2/28/19,NG1
2801020411,64224.04,41403.58,3/1/19,3/31/19,NG1
2894106116,7477.25,5386.94,4/1/19,4/30/19,NG1
3077540500,47117.19,29293.55,5/1/19,5/31/19,NG1
3077559079,58922.65,36878.53,6/1/19,6/30/19,NG1
3113803609,84591.74,49215.85,7/1/19,7/31/19,NG1
3187388518,123225.98,69346.55,8/1/19,8/31/19,NG1
3289354342,99130.31,57578.82,9/1/19,9/30/19,NG1
3363307514,83474.44,50727.04,10/1/19,10/31/19,NG1
3428266501,58866.69,37201.76,11/1/19,11/30/19,NG1
3697805154,107135.01,66144.66,12/1/19,12/31/19,NG1
3697941259,92537.8,54153.93,1/1/20,1/31/20,NG1
3890577082,87034.37,48247.07,2/1/20,2/29/20,NG1
4608727024,37818.09,21370.96,3/1/20,3/31/20,NG1
4608828655,94162.07,50047.36,4/1/20,4/30/20,NG1
4609083085,50326.31,27768.48,5/1/20,5/31/20,NG1
4609109322,122420.13,65093.91,6/1/20,6/30/20,NG1
4610697961,118080.14,59683.61,7/1/20,7/31/20,NG1
4611127627,205443.3,111784.91,8/1/20,8/31/20,NG1
4611250131,206467.02,128184.13,9/1/20,9/30/20,NG1
4611407091,55478.31,31917.03,10/1/20,10/31/20,NG1
4611548088,80650.79,53720.89,11/1/20,11/30/20,NG1
4611729473,206047.99,135051.99,12/1/20,12/31/20,NG1
4622120677,227227.82,138641.63,1/1/21,1/31/21,NG1
2457988231,176.84,175.67,12/1/16,1/3/17,NG10
2458117360,193.1,206.98,1/3/17,2/1/17,NG10
2458149274,316.49,318.19,2/1/17,3/3/17,NG10
2458155084,250.01,234.16,3/3/17,4/3/17,NG10
2464653336,261.56,240.3,4/3/17,5/3/17,NG10
2465361770,152.46,143.62,5/3/17,6/2/17,NG10
2465361817,53.37,59.05,6/2/17,7/3/17,NG10
2465402054,54.31,59.01,7/3/17,8/2/17,NG10
2465451150,1108.09,953.09,8/2/17,8/31/17,NG10
2465528123,310.18,288.26,8/31/17,10/2/17,NG10
2465539188,233.35,210.13,10/2/17,10/31/17,NG10
2465549300,255.82,242.96,10/31/17,12/1/17,NG10
2465555430,232.08,226.9,12/1/17,1/3/18,NG10
2465680700,155.47,149.99,1/3/18,2/1/18,NG10
2465685094,334.37,344.84,2/1/18,3/5/18,NG10
2465773529,219.55,207.08,3/5/18,4/4/18,NG10
2465778365,271.28,234.19,4/4/18,5/3/18,NG10
2465816512,130.13,120.35,5/4/18,6/4/18,NG10
2465838051,49.18,53.29,6/4/18,7/3/18,NG10
2465920803,52.12,56.29,7/3/18,8/2/18,NG10
2467087859,129.25,119.53,8/2/18,8/31/18,NG10
2547743799,207.19,186.17,9/1/18,10/2/18,NG10
2602782038,261.6,234.88,10/2/18,10/31/18,NG10
2602855343,298.98,284.26,10/31/18,12/3/18,NG10
